2013-08-13 01:38:53 lv3:RoleID:[14] ExpChanged:[25284942] ExpTotal:[219344567] Reason:[Undefine] Attach:[]
2013-08-13 01:47:59 lv3:RoleID:[21] ExpChanged:[10] ExpTotal:[10] Reason:[Task] Attach:[655]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-25] ExpTotal:[89985] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-100] ExpTotal:[89885] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-200] ExpTotal:[89685] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-325] ExpTotal:[89360] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-700] ExpTotal:[88660] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-1000] ExpTotal:[87660] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-1300] ExpTotal:[86360] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-1600] ExpTotal:[84760] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-2000] ExpTotal:[82760] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-2400] ExpTotal:[80360] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-2800] ExpTotal:[77560] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-3200] ExpTotal:[74360] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-3600] ExpTotal:[70760] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-4200] ExpTotal:[66560] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-5000] ExpTotal:[61560] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-6000] ExpTotal:[55560] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-8000] ExpTotal:[47560] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-10000] ExpTotal:[37560] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-14000] ExpTotal:[23560] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-16000] ExpTotal:[7560] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[7550] ExpTotal:[7560] Reason:[Monster] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-22000] ExpTotal:[17059] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[9499] ExpTotal:[17059] Reason:[Monster] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-28000] ExpTotal:[16058] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[-34000] ExpTotal:[4558] Reason:[LevelUp] Attach:[]
2013-08-13 01:48:24 lv3:RoleID:[21] ExpChanged:[18000] ExpTotal:[22558] Reason:[Monster] Attach:[]
2013-08-13 01:49:47 lv3:RoleID:[21] ExpChanged:[18000] ExpTotal:[40558] Reason:[Monster] Attach:[]
2013-08-13 01:49:47 lv3:RoleID:[21] ExpChanged:[-46000] ExpTotal:[12558] Reason:[LevelUp] Attach:[]
2013-08-13 01:49:47 lv3:RoleID:[21] ExpChanged:[13499] ExpTotal:[26057] Reason:[Monster] Attach:[]
2013-08-13 01:49:47 lv3:RoleID:[21] ExpChanged:[13499] ExpTotal:[39556] Reason:[Monster] Attach:[]
2013-08-13 01:49:47 lv3:RoleID:[21] ExpChanged:[-52000] ExpTotal:[1055] Reason:[LevelUp] Attach:[]
2013-08-13 01:49:47 lv3:RoleID:[21] ExpChanged:[8999] ExpTotal:[10054] Reason:[Monster] Attach:[]
2013-08-13 01:50:33 lv3:RoleID:[21] ExpChanged:[8999] ExpTotal:[19053] Reason:[Monster] Attach:[]
2013-08-13 01:50:33 lv3:RoleID:[21] ExpChanged:[8999] ExpTotal:[28052] Reason:[Monster] Attach:[]
2013-08-13 01:50:33 lv3:RoleID:[21] ExpChanged:[8999] ExpTotal:[37051] Reason:[Monster] Attach:[]
2013-08-13 01:50:33 lv3:RoleID:[21] ExpChanged:[8999] ExpTotal:[46050] Reason:[Monster] Attach:[]
2013-08-13 01:50:33 lv3:RoleID:[21] ExpChanged:[8999] ExpTotal:[55049] Reason:[Monster] Attach:[]
2013-08-13 01:50:33 lv3:RoleID:[21] ExpChanged:[-58000] ExpTotal:[6048] Reason:[LevelUp] Attach:[]
2013-08-13 01:52:02 lv3:RoleID:[21] ExpChanged:[4499] ExpTotal:[10547] Reason:[Monster] Attach:[]
2013-08-13 01:52:02 lv3:RoleID:[21] ExpChanged:[4499] ExpTotal:[15046] Reason:[Monster] Attach:[]
2013-08-13 01:52:02 lv3:RoleID:[21] ExpChanged:[4500] ExpTotal:[19546] Reason:[Monster] Attach:[]
2013-08-13 01:52:02 lv3:RoleID:[21] ExpChanged:[4500] ExpTotal:[24046] Reason:[Monster] Attach:[]
2013-08-13 01:52:02 lv3:RoleID:[21] ExpChanged:[4500] ExpTotal:[28546] Reason:[Monster] Attach:[]
2013-08-13 01:52:02 lv3:RoleID:[21] ExpChanged:[4500] ExpTotal:[33046] Reason:[Monster] Attach:[]
2013-08-13 01:52:02 lv3:RoleID:[21] ExpChanged:[4500] ExpTotal:[37546] Reason:[Monster] Attach:[]
2013-08-13 01:52:02 lv3:RoleID:[21] ExpChanged:[4500] ExpTotal:[42046] Reason:[Monster] Attach:[]
2013-08-13 01:52:02 lv3:RoleID:[21] ExpChanged:[4500] ExpTotal:[46546] Reason:[Monster] Attach:[]
2013-08-13 01:52:02 lv3:RoleID:[21] ExpChanged:[4500] ExpTotal:[51046] Reason:[Monster] Attach:[]
2013-08-13 01:52:58 lv3:RoleID:[21] ExpChanged:[4500] ExpTotal:[55546] Reason:[Monster] Attach:[]
2013-08-13 01:53:01 lv3:RoleID:[21] ExpChanged:[4500] ExpTotal:[60046] Reason:[Monster] Attach:[]
