2013-08-12 20:46:27 lv3:RoleID:[20] MoneyChanged:[-400] MoneyTotal:[14543] StorageMoney:[0] Reason:[Carry] Attach:[]
2013-08-12 20:47:12 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[114543] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:47:12 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[214543] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:47:12 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[314543] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:47:13 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[414543] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:47:13 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[514543] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:47:13 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[614543] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:49:05 lv3:RoleID:[20] MoneyChanged:[552] MoneyTotal:[615095] StorageMoney:[0] Reason:[Task] Attach:[1760]
2013-08-12 20:51:52 lv3:RoleID:[20] MoneyChanged:[6000] MoneyTotal:[621095] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:51:53 lv3:RoleID:[20] MoneyChanged:[1680] MoneyTotal:[622775] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:51:53 lv3:RoleID:[20] MoneyChanged:[5000] MoneyTotal:[627775] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:51:55 lv3:RoleID:[20] MoneyChanged:[6500] MoneyTotal:[634275] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:51:55 lv3:RoleID:[20] MoneyChanged:[1] MoneyTotal:[634276] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:51:56 lv3:RoleID:[20] MoneyChanged:[1] MoneyTotal:[634277] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:51:57 lv3:RoleID:[20] MoneyChanged:[1] MoneyTotal:[634278] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:51:57 lv3:RoleID:[20] MoneyChanged:[4] MoneyTotal:[634282] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:51:58 lv3:RoleID:[20] MoneyChanged:[1] MoneyTotal:[634283] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:52:00 lv3:RoleID:[20] MoneyChanged:[1] MoneyTotal:[634284] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:52:01 lv3:RoleID:[20] MoneyChanged:[3] MoneyTotal:[634287] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:52:01 lv3:RoleID:[20] MoneyChanged:[2] MoneyTotal:[634289] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:52:02 lv3:RoleID:[20] MoneyChanged:[14] MoneyTotal:[634303] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:52:03 lv3:RoleID:[20] MoneyChanged:[12] MoneyTotal:[634315] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:52:06 lv3:RoleID:[20] MoneyChanged:[7] MoneyTotal:[634322] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:52:06 lv3:RoleID:[20] MoneyChanged:[10] MoneyTotal:[634332] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:52:12 lv3:RoleID:[20] MoneyChanged:[1] MoneyTotal:[634333] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:52:12 lv3:RoleID:[20] MoneyChanged:[1] MoneyTotal:[634334] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:52:13 lv3:RoleID:[20] MoneyChanged:[1] MoneyTotal:[634335] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:52:13 lv3:RoleID:[20] MoneyChanged:[1] MoneyTotal:[634336] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:52:14 lv3:RoleID:[20] MoneyChanged:[4] MoneyTotal:[634340] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-12 20:54:00 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[734340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:00 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[834340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:00 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[934340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:00 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[1034340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:00 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[1134340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:01 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[1234340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:01 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[1334340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:01 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[1434340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:01 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[1534340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:01 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[1634340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:01 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[1734340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:01 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[1834340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:02 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[1934340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:02 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[2034340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:02 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[2134340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:02 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[2234340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:03 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[2334340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-12 20:54:03 lv3:RoleID:[20] MoneyChanged:[100000] MoneyTotal:[2434340] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
