2013-08-13 02:01:04 lv3:RoleID:[21] MoneyChanged:[100000] MoneyTotal:[5885605] StorageMoney:[0] Reason:[Script] Attach:[Script\Item\ITEM-59323.s]
2013-08-13 02:08:01 lv3:RoleID:[21] MoneyChanged:[200] MoneyTotal:[5885805] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-13 02:08:20 lv3:RoleID:[21] MoneyChanged:[200] MoneyTotal:[5886005] StorageMoney:[0] Reason:[NpcSell] Attach:[]
2013-08-13 02:09:26 lv3:RoleID:[21] MoneyChanged:[-2000] MoneyTotal:[5884005] StorageMoney:[0] Reason:[Pet] Attach:[]
2013-08-13 02:16:43 lv3:RoleID:[21] MoneyChanged:[-2000] MoneyTotal:[5882005] StorageMoney:[0] Reason:[Pet] Attach:[]
2013-08-13 02:16:47 lv3:RoleID:[21] MoneyChanged:[-2000] MoneyTotal:[5880005] StorageMoney:[0] Reason:[Pet] Attach:[]
2013-08-13 02:16:50 lv3:RoleID:[21] MoneyChanged:[-2000] MoneyTotal:[5878005] StorageMoney:[0] Reason:[Pet] Attach:[]
2013-08-13 02:16:51 lv3:RoleID:[21] MoneyChanged:[-2000] MoneyTotal:[5876005] StorageMoney:[0] Reason:[Pet] Attach:[]
2013-08-13 02:16:51 lv3:RoleID:[21] MoneyChanged:[-2000] MoneyTotal:[5874005] StorageMoney:[0] Reason:[Pet] Attach:[]
2013-08-13 02:16:52 lv3:RoleID:[21] MoneyChanged:[-2000] MoneyTotal:[5872005] StorageMoney:[0] Reason:[Pet] Attach:[]
2013-08-13 02:16:53 lv3:RoleID:[21] MoneyChanged:[-2000] MoneyTotal:[5870005] StorageMoney:[0] Reason:[Pet] Attach:[]
2013-08-13 02:16:53 lv3:RoleID:[21] MoneyChanged:[-2000] MoneyTotal:[5868005] StorageMoney:[0] Reason:[Pet] Attach:[]
2013-08-13 02:16:54 lv3:RoleID:[21] MoneyChanged:[-2000] MoneyTotal:[5866005] StorageMoney:[0] Reason:[Pet] Attach:[]
2013-08-13 02:16:54 lv3:RoleID:[21] MoneyChanged:[-2000] MoneyTotal:[5864005] StorageMoney:[0] Reason:[Pet] Attach:[]
2013-08-13 02:16:54 lv3:RoleID:[21] MoneyChanged:[-2000] MoneyTotal:[5862005] StorageMoney:[0] Reason:[Pet] Attach:[]
2013-08-13 02:16:56 lv3:RoleID:[21] MoneyChanged:[-2000] MoneyTotal:[5860005] StorageMoney:[0] Reason:[Pet] Attach:[]
2013-08-13 02:16:57 lv3:RoleID:[21] MoneyChanged:[-2000] MoneyTotal:[5858005] StorageMoney:[0] Reason:[Pet] Attach:[]
2013-08-13 02:16:57 lv3:RoleID:[21] MoneyChanged:[-2000] MoneyTotal:[5856005] StorageMoney:[0] Reason:[Pet] Attach:[]
2013-08-13 02:16:57 lv3:RoleID:[21] MoneyChanged:[-2000] MoneyTotal:[5854005] StorageMoney:[0] Reason:[Pet] Attach:[]
