ID	String
0	"登入失败
[color=FFd8ea62]未知错误！可能是用户名或密码错误！"
1	"登入失败
[color=FFd8ea62]客户端和服务器版本不匹配！"
2	登入失败 : [color=FFd8ea62]用户名和密码不匹配！
3	登入失败 : [color=FFd8ea62]用户名和密码不匹配！
4	特别提示 : [color=FFd8ea62]该账号已在游戏服务器中，请重新登入!
5	登入失败 : [color=FFd8ea62]用户名和密码不匹配！
6	登入失败 : [color=FFd8ea62]未知错误！
7	创建失败 : [color=FFd8ea62]角色重名！
8	系统消息
9	删除失败！
10	[color=FFFFD940]%s 请求与您交易，是否接受？
11	确定交易？
12	对方退出交易
13	对方或自己已经在交易中
14	对方不同意交易
15	对方取消交易！
16	包裹已满！
17	交易失败！
18	交易超时！
19	要放上物品数量
20	您的金钱不足，不能进行此项操作！
21	请输入正确的数量！
22	没有足够的空间摆放物品！
23	请输入买物品的数量
24	请输入取物品的数量
25	确定要删除所选中的角色？
26	请输入卖出物品的数量
27	输入框
28	请输入丢弃物品的数量
29	交易
30	加为好友
31	组队
32	跟随
33	物品使用失败！
34	失败
35	装备或卸载失败！
36	价格
37	退出游戏
38	请输入姓名！
39	角色数量已满！
40	是否确定购买该物品？
41	您的等级提升了！
42	是否确定丢弃此物品？
43	当前您无法购买此物品！
44	商店现在没有这么多物品！
45	您的技能等级提升了！
46	普通
47	基本
48	精致
49	稀有
50	神器
51	未知1
52	未知2
53	未知3
54	未知4
55	未知5
56	未知6
57	单手剑
58	双手剑
59	弓
60	弩
61	杖
62	匕首
63	盾牌
64	拳刃
65	单手斧
66	双手斧
67	耐久点数
68	需要级别
69	男
70	女
71	性别需求
72	力量需求
73	敏捷需求
74	体质需求
75	法力需求
76	感知需求
77	运气需求
78	未知
79	未知
80	刺客
81	武士
82	猎人
83	方士
84	巫师
85	未知
86	职业需求
87	物理攻击
88	法术攻击
89	是
90	否
91	增加HP
92	增加MP
93	增加经验
94	附加作用 : 未知
95	攻击速度
96	火元素攻击
97	冰元素攻击
98	雷元素攻击
99	毒元素攻击
100	物理攻击
101	法术攻击
